train_n,sample_id,amplitude,damping,frequency,shift,mse
16,33,0.85166182,2.80761380,19.05872163,-0.12144601,0.0130019676
16,34,0.86070462,2.25589815,21.59421963,-0.11373585,0.0036414469
16,35,0.77932220,2.66554128,21.59267316,0.23842881,0.0058886468
16,36,0.64264398,2.44944783,21.13789346,0.25568315,0.0038311414
16,37,0.72488710,2.19953744,20.30137659,0.12378275,0.0014342705
16,38,0.74945406,2.32144974,22.03302908,0.17699175,0.0058111113
16,39,0.74326579,2.96566563,20.62732963,0.37182169,0.0040987425
16,40,0.91999934,2.59159556,21.74986989,0.28636891,0.0031892081
16,41,0.79459286,3.14837450,22.35332702,-0.14365225,0.0056627531
16,42,0.83554406,2.29482148,21.82221798,0.04273932,0.0061404461
16,43,0.72719586,2.62181338,24.54430446,-0.36121669,0.0032254167
16,44,0.73507857,2.08819096,22.86314123,-0.23240177,0.0025792940
16,45,0.71779201,3.05065894,21.54247318,0.19120263,0.0034518917
16,46,0.72478244,2.32018738,23.18088400,0.39480652,0.0226075981
16,47,0.81736104,2.70881191,22.36237495,0.20632978,0.0119503897
16,48,0.73039865,2.65774952,23.04511321,0.23792878,0.0043586194
16,49,0.87705438,2.36061458,23.48784265,0.14846111,0.0029702810
16,50,0.83968270,3.83476638,23.80255754,-0.12103078,0.0057184453
16,51,0.85767124,2.38285157,22.35165256,0.07325337,0.0036161142
16,52,0.89235286,2.05251100,22.24530090,-0.14947895,0.0049465567
16,53,0.83545578,2.64115401,22.10732529,0.15364827,0.0069020811
16,54,0.69018752,2.74872133,21.36075731,0.36209869,0.0058569914
16,55,0.89375343,2.57419452,20.03956219,0.05188139,0.0037607575
16,56,0.67128690,2.24926527,22.63795398,-0.34696892,0.0026185726
16,57,0.97095102,2.50937864,21.29597690,0.14826473,0.0053268560
16,58,0.91682801,2.83320755,20.05080081,-0.28708388,0.0108158260
16,59,0.67890558,2.87068308,21.82135148,-0.15990828,0.0058540626
16,60,0.88567102,2.24184707,20.68370564,0.27605981,0.0119926181
16,61,0.93050899,2.14021587,20.34973700,0.26695272,0.0065526815
16,62,0.79347680,2.47664583,21.94312551,0.38441755,0.0024812062
16,63,0.83875086,2.19816081,21.61099424,0.38314622,0.0034486501
16,64,0.81229383,2.45087376,22.85537083,-0.37772074,0.0052846097
16,65,0.84576276,2.73389634,22.70995994,0.24284592,0.0053761245
16,66,0.79539748,2.98492633,20.73752597,0.22834196,0.0042211651
16,67,0.77878918,2.43113312,23.19582612,0.11342533,0.0077174826
16,68,0.89030835,2.51300786,21.37210532,0.05602638,0.0065686749
16,69,0.87205679,3.15668037,21.97335416,-0.07084615,0.0030838935
16,70,0.80577625,3.38858006,21.93870089,0.11249646,0.0099328310
16,71,0.89060564,2.27006277,21.23275447,0.46344414,0.0038904510
16,72,0.86588965,2.26720159,23.94822177,-0.19682847,0.0035156771
16,73,0.86669476,3.23396561,22.21366369,0.43088046,0.0060473715
16,74,0.76192078,2.38757194,20.57817415,0.17050739,0.0137773175
16,75,0.84423362,2.47197634,22.46941162,0.08915837,0.0030109984
16,76,0.81545528,2.33594298,22.15919979,0.06216359,0.0038200183
16,77,0.79528138,2.72343639,22.23188598,-0.09536165,0.0036407137
16,78,0.83900883,3.19110672,21.25769345,0.37318705,0.0018839493
16,79,0.79994798,2.90666822,22.27111719,0.39960245,0.0036785161
16,80,0.87098454,2.21184609,23.08209368,0.04348513,0.0035130970
16,81,0.77756411,2.52385454,22.65546495,0.30120292,0.0059785902
16,82,0.51176080,2.22618927,21.54506024,0.29116304,0.0047400143
16,83,0.73198477,2.31074820,21.93035709,-0.11220233,0.0043721880
16,84,0.80910033,2.67368209,22.56231884,0.40753307,0.0057722614
16,85,0.91213874,2.62347535,21.56558135,0.18861907,0.0079233718
16,86,0.81101072,3.57319293,22.89296249,0.01554236,0.0068330924
16,87,0.84141922,2.94515388,22.00072924,-0.24430853,0.0074539794
16,88,0.84984367,3.08582668,22.93064698,-0.31618391,0.0156789693
16,89,0.82542150,2.28755394,24.47278858,-0.02977221,0.0052237698
16,90,0.70855478,2.90900128,22.80741974,0.27107061,0.0072778511
16,91,0.88665923,2.37107946,23.69518495,0.10553901,0.0050064533
16,92,0.70190430,3.00145390,22.64687123,0.40245542,0.0045600861
16,93,0.84256625,2.48023410,22.64235759,0.01252812,0.0060718452
16,94,0.80111224,2.49734748,23.09009315,0.15470920,0.0042089965
16,95,0.83975800,2.89115750,23.01941098,-0.05032528,0.0042998318
16,96,0.75006378,2.09699025,23.94323455,0.28773691,0.0026406684
16,97,0.78554041,2.44761713,23.55923464,0.07119717,0.0013228871
16,98,0.81092682,2.13268672,21.27360065,0.31522073,0.0056717132
16,99,0.81004071,2.72069555,19.89551555,0.39538371,0.0043631914
16,100,0.71011881,2.98437983,23.31681091,0.31644565,0.0085198102
16,101,0.97197465,2.18032185,24.99269371,0.07362790,0.0022528058
16,102,0.74592744,2.36446263,21.69348202,0.21669095,0.0021388970
16,103,0.89259037,2.69002346,21.33234914,-0.00687600,0.0040900533
16,104,0.90901789,3.01805982,21.61771981,0.34744279,0.0062462030
16,105,0.86969050,2.35539915,22.05689058,-0.05561791,0.0038000346
16,106,0.81029035,2.59655785,20.01494486,0.03068748,0.0119714146
16,107,0.75086867,3.19296124,21.07058638,0.16183228,0.0043451081
16,108,0.86747791,2.10767621,20.00935114,0.20131356,0.0044913232
16,109,0.84644498,2.78499101,18.95451638,0.41540492,0.0053223106
16,110,0.83375292,2.14452559,21.30634737,0.18987205,0.0063286174
16,111,0.85996707,2.77174358,22.83582701,-0.19118646,0.0038663202
16,112,0.85538333,3.19794512,22.17293966,0.38389497,0.0018083405
16,113,0.70252455,2.58483359,23.18950840,0.27759856,0.0035013468
16,114,0.80014020,2.43820627,24.36915438,0.29549835,0.0035683678
16,115,0.73075738,2.70329115,21.83259676,-0.33874259,0.0045997987
16,116,0.79273823,2.23047628,21.81314387,-0.15500591,0.0041699055
16,117,0.81452157,3.83780029,24.21748823,0.15703040,0.0091112992
16,118,0.80853955,2.33833096,21.81780251,-0.08725587,0.0124027362
16,119,0.89339264,2.87601253,22.08693117,0.11924392,0.0040328348
16,120,0.66858014,2.39531094,22.63932635,0.20110794,0.0023786387
16,121,0.75639030,3.98793746,21.40504132,0.17576081,0.0114170616
16,122,0.80631635,2.42850986,21.88158833,0.03210042,0.0019303429
16,123,0.85632713,2.41962254,22.46735060,0.24772654,0.0074976702
16,124,0.73781845,2.45986867,23.50113917,0.20222934,0.0024574014
16,125,0.77360781,2.55402677,20.66652278,-0.04999388,0.0066587532
16,126,0.79329644,3.15648625,20.96795209,0.24968820,0.0054370109
16,127,0.84234002,2.42116735,22.73503255,-0.00661604,0.0035777003
16,128,0.82313669,2.17417338,22.16811561,0.29704606,0.0024562944
16,129,0.74228811,2.44178673,21.93139215,-0.09697186,0.0044105086
16,130,0.94776576,2.25894034,23.59491011,0.21127518,0.0044593728
16,131,0.64440576,3.11303839,21.68183187,0.20324357,0.0050091347
16,132,0.84470488,2.75904029,21.76924810,0.15558490,0.0041214974
16,133,0.79643323,2.45833080,23.48505165,0.17080228,0.0073095500
16,134,0.83497448,2.55187050,22.49553263,0.42198076,0.0086205930
16,135,0.75281373,2.53317309,20.46051991,0.36354671,0.0137045374
16,136,0.69413091,2.62746842,20.18762782,0.08054096,0.0057937535
16,137,0.86454332,2.46943528,22.45907651,0.36293607,0.0035427416
16,138,0.81179667,2.79595997,20.92824771,-0.06088343,0.0041664279
16,139,0.73230388,2.29922598,20.78275523,0.06154827,0.0084102195
16,140,0.95513806,3.00009871,24.15279146,0.15625040,0.0056257830
16,141,0.79923037,2.31992103,21.81625949,0.22941345,0.0038314408
16,142,0.87728336,2.50630417,21.29451733,0.22112312,0.0063723626
16,143,0.72573510,3.38419001,19.64497604,0.08399291,0.0068128353
16,144,0.87900984,2.77670278,21.68884784,-0.00837248,0.0064868830
16,145,0.79450247,2.54236653,20.61187046,0.28244264,0.0031219546
16,146,0.79134900,2.89616143,21.36097007,-0.06155576,0.0028849454
16,147,0.86262627,2.29645345,21.76368867,0.44102186,0.0024450391
16,148,0.94628146,2.18030289,23.39420657,0.36321001,0.0155164723
16,149,0.82860404,2.35878430,19.74742882,0.05581323,0.0065655431
16,150,0.74213371,3.38305296,20.47070315,0.41872129,0.0024362906
16,151,0.80502607,3.01233526,23.26312427,-0.07690373,0.0041564619
16,152,0.81222710,2.94440295,21.63725185,0.01607438,0.0096095079
16,153,0.90644974,2.85349912,23.16015425,-0.18211890,0.0039673415
16,154,0.80959725,2.20972432,21.42356644,0.08967130,0.0050113081
16,155,0.66599133,2.57744201,23.18599628,0.08229547,0.0026321637
16,156,0.82955671,3.93635985,21.70028046,0.24579571,0.0029037994
16,157,0.85787506,2.26117751,24.15147229,0.13869159,0.0088303342
16,158,0.76763925,2.39334710,21.96810003,0.18015504,0.0123141780
16,159,0.84778419,2.52490551,22.05796334,0.02486997,0.0086984009
16,160,0.74513902,2.48974431,20.31853715,0.14860672,0.0078991038
16,161,0.83559311,2.51533270,21.66578204,0.23141979,0.0085276114
16,162,0.91698244,3.12881286,21.53788446,0.32776811,0.0213897459
16,163,0.71074536,2.50291423,23.03185894,-0.13765610,0.0031233507
16,164,0.68295329,3.17395650,21.74019177,0.01024735,0.0024780212
16,165,0.73948874,2.23839736,21.34096490,-0.22068431,0.0042536763
16,166,0.76617956,2.58851794,23.56176256,0.20699330,0.0037578492
16,167,0.71074949,2.22764291,22.04268410,0.09720027,0.0070267622
16,168,0.78333802,2.14084402,21.61243574,0.45775928,0.0083999541
16,169,0.88189799,2.86290864,23.56184253,-0.01253729,0.0048928002
16,170,0.78769511,3.04145429,21.18422631,0.47282230,0.0078232048
16,171,0.74111797,2.80015864,21.60549932,0.28846005,0.0061901667
16,172,0.76536404,2.57539160,21.91481550,0.19180850,0.0083959855
16,173,0.72856893,2.56501646,20.66798310,0.26946038,0.0038315587
16,174,0.84329650,3.17640647,20.58353389,0.41750847,0.0101278838
16,175,0.91758672,3.75895260,21.36844471,0.26020138,0.0031983758
16,176,0.79786382,2.45497366,22.51747810,0.15272008,0.0042946972
16,177,0.52967531,2.32208226,21.56439695,0.02203117,0.0083351711
16,178,0.68703357,2.79189273,22.68214031,0.18652376,0.0131889241
16,179,0.72975521,3.23057450,21.43196758,0.14076098,0.0056863250
16,180,0.69839305,2.42650698,21.12885844,0.22060676,0.0020263065
16,181,0.64286244,2.20043898,22.25521261,0.19599391,0.0064498038
16,182,0.82517875,2.68029897,21.95551053,0.05491041,0.0070775194
16,183,0.83324649,2.40916085,21.87243837,0.10683682,0.0083350971
16,184,0.75869257,2.72217953,20.98101509,-0.20162143,0.0050845220
16,185,0.91301218,2.27830077,21.33396421,0.31606383,0.0030117556
16,186,0.86947635,2.30768095,21.38281412,0.17663639,0.0052594601
16,187,0.84272281,3.09720494,22.02411374,0.16940159,0.0080049027
16,188,0.70253610,2.44017992,23.41996896,0.30308676,0.0033505223
16,189,0.73635132,2.55844424,23.35288887,-0.48314846,0.0149000876
16,190,0.95163748,2.39546071,21.16491661,0.12978665,0.0056902749
16,191,0.78740108,2.58826314,21.73422455,0.08370625,0.0037042649
16,192,0.82539024,2.42627310,21.95474707,-0.37333943,0.0065487608
16,193,0.71371058,2.21240757,22.17432787,0.02555814,0.0055243747
16,194,0.93157388,2.26262289,21.07461076,0.30646787,0.0031670369
16,195,0.68938224,2.50239152,20.03275312,0.05769432,0.0037177861
16,196,0.84154746,2.35474944,24.10708440,0.07369577,0.0024979676
16,197,0.70894268,2.53231122,19.42364019,0.41322286,0.0063255831
16,198,0.94643960,2.52640189,22.01989709,0.28270555,0.0072932652
16,199,0.82770063,2.35666050,21.85255530,0.14650380,0.0036448596
16,200,0.88182004,2.49502581,19.53281994,0.02922560,0.0019866327
16,201,0.76935067,2.44082991,21.72197452,0.04752327,0.0048638193
16,202,0.65322843,2.58015059,23.32053214,-0.09857954,0.0078127151
16,203,0.92283550,2.37566267,20.66543258,0.23381527,0.0100429459
16,204,0.87047461,2.58249122,19.35047476,0.17481952,0.0074396204
16,205,0.69208165,2.31011108,21.59368078,-0.09716265,0.0059384502
16,206,0.66969531,3.69671934,23.46683774,-0.02434690,0.0041239473
16,207,0.76861609,2.83720325,20.68885457,0.11053495,0.0030210671
16,208,0.87213726,2.29537748,21.52885969,0.40501211,0.0029013495
16,209,0.82331022,2.38921013,23.23850550,0.43199945,0.0030256928
16,210,0.81274346,2.80190626,21.74484812,0.35340530,0.0031445330
16,211,0.79828282,2.54426026,19.63819340,-0.12301737,0.0153392337
16,212,0.51878064,2.26907696,22.52063330,0.40634407,0.0096186128
16,213,0.89007660,2.53242650,23.20747098,-0.14261618,0.0035480565
16,214,0.97940533,2.38364805,22.20544359,0.12154155,0.0062658857
16,215,0.91161759,2.68126006,22.14874169,0.17453204,0.0086116237
16,216,0.81976915,2.10645951,23.60207010,0.26810967,0.0038234102
16,217,0.84012806,2.83400886,22.70489539,0.18929643,0.0087440421
16,218,0.63774596,2.37717191,23.29090600,0.30704345,0.0125773409
16,219,0.76031144,2.56086915,21.00207430,-0.10999397,0.0067618034
16,220,0.83787998,2.92995085,23.25545511,0.08411780,0.0223891806
16,221,0.94514557,2.96152771,23.33271837,0.10467406,0.0026899838
16,222,0.79675695,2.87429906,20.53697513,0.10763591,0.0030428312
16,223,0.77442818,3.59133477,22.36734445,-0.47221539,0.0056316387
16,224,0.76210380,2.27272367,22.60813852,-0.16746485,0.0039650853
16,225,0.87820715,2.37669284,23.79697253,0.18086576,0.0036688251
16,226,0.86030395,2.98628641,21.91117447,0.24046404,0.0055084327
16,227,0.83521727,2.50121666,24.21246873,0.23553633,0.0015976432
16,228,0.85120085,2.61386642,22.90993739,0.15340762,0.0041694310
16,229,0.70288619,2.83572571,21.49498423,-0.02679025,0.0059034410
16,230,0.94617445,2.46748628,20.77421483,0.31861200,0.0051807298
16,231,0.77019754,2.98472828,21.19982148,0.01088349,0.0049718251
16,232,0.96413909,2.91779818,21.13428362,0.18398364,0.0016052658
16,233,0.89824366,2.57185689,21.44598434,0.20637643,0.0024902557
16,234,0.75830026,2.97279054,20.52895431,-0.07812012,0.0050214976
16,235,0.92150375,2.78815096,21.67473089,0.44810845,0.0068085441
16,236,0.83281219,2.16531839,22.27093143,0.35635087,0.0033026697
16,237,0.67603894,3.08453103,23.74838390,0.38027066,0.0066836674
16,238,0.87276412,2.73294263,22.61748181,0.15799662,0.0054792942
16,239,0.92452689,2.70639669,21.30194944,0.21835115,0.0045094986
16,240,0.70453034,2.36308477,22.60404336,0.34527940,0.0108810409
16,241,0.78578435,2.22089636,22.66756941,0.16375552,0.0038374501
16,242,0.68470151,2.90670041,22.28696737,0.24709009,0.0050536451
16,243,0.84103487,2.73847236,21.72441037,0.02852613,0.0041131970
16,244,0.68419011,2.11035915,21.31749926,0.20310067,0.0129159660
16,245,0.88749007,2.17147349,22.89553700,0.23797193,0.0024349513
16,246,0.84859902,2.24262575,19.88043851,0.19722727,0.0039487886
16,247,0.78989145,3.01722172,20.09184889,0.26341763,0.0044496580
16,248,0.79557846,3.04813528,22.40274221,0.39525483,0.0057374771
16,249,0.86934219,2.86342305,21.72629372,0.17651173,0.0019053348
16,250,0.64129526,3.11453749,22.75367793,0.08971016,0.0075255384
16,251,0.73757521,3.21868198,21.72987294,0.18434286,0.0033358907
16,252,0.82983245,2.74739445,22.16806414,0.28321342,0.0028947660
16,253,0.93230786,2.72160539,20.57267380,0.22339663,0.0043375622
16,254,0.92319358,2.14373370,23.35310608,0.21831548,0.0042040734
16,255,0.96324018,2.96641021,21.61929560,0.22010854,0.0020403955
16,256,0.72797238,2.67931155,20.58340107,-0.17553259,0.0022238042
16,257,0.63614256,3.13024208,20.43415663,-0.19187535,0.0058891471
16,258,0.87129688,3.25520945,22.08713854,0.08510730,0.0037338547
16,259,0.71189784,2.18060845,22.61872869,-0.06745285,0.0026631946
16,260,0.75900326,2.75223302,22.78603938,-0.04238681,0.0217940836
16,261,0.89316442,2.41910210,21.29283163,0.39534740,0.0080928584
16,262,0.80776734,2.73892761,23.06769374,0.17164777,0.0032780864
16,263,0.83580742,3.04460691,21.89527831,0.16561463,0.0057807339
16,264,0.71706102,2.14273735,21.65982069,0.39715842,0.0075981045
16,265,0.78948692,2.44542035,21.94655097,0.13389622,0.0073821283
16,266,0.89517813,2.26367504,21.34784494,0.08473845,0.0055478949
16,267,0.86351309,2.53212059,21.07489384,0.00810227,0.0012004331
16,268,0.88472472,2.43899453,22.59521998,-0.31954370,0.0019132622
16,269,0.89937495,2.06348372,21.68498480,-0.07142198,0.0025296358
16,270,0.69108968,2.33260787,22.10765762,-0.07294119,0.0020482609
16,271,0.85620698,2.34180315,22.58261656,-0.05493994,0.0093032899
16,272,0.92040067,2.47495768,21.17594707,0.29031166,0.0031747736
16,273,0.87368337,3.14454812,20.94539852,0.29019928,0.0050962650
16,274,0.56057498,2.68303946,21.24744548,-0.00071338,0.0040044095
16,275,0.65789130,2.34726912,23.00751101,0.02182154,0.0020496488
16,276,0.91132627,2.49862865,23.91016900,0.27482178,0.0049220572
16,277,0.92276900,2.75541109,20.88085174,0.25458152,0.0020988696
16,278,0.51661679,2.25780753,22.04131611,0.19484672,0.0036561426
16,279,0.86799989,2.54457164,22.48362661,0.32134222,0.0107773595
16,280,0.77430246,2.59312807,20.43525594,0.25270557,0.0057729409
16,281,0.57541312,2.23649810,22.24434380,0.14529514,0.0062022490
16,282,0.78056605,2.37626887,20.91459915,-0.13719767,0.0050433143
16,283,0.85297563,2.54787156,22.35432046,0.06741058,0.0038383018
16,284,0.76704821,2.76766621,21.64127733,0.08285349,0.0030944595
16,285,0.72649435,2.94304075,21.37551677,0.08274445,0.0055182081
16,286,0.77774934,2.47413953,19.50831115,0.04530440,0.0105999573
16,287,0.90701516,2.42239009,21.74556111,0.08687081,0.0071086302
16,288,0.81005177,2.85887075,21.82297049,-0.38012597,0.0071150751
16,289,0.87873060,2.92688448,22.39414812,0.05653663,0.0028897176
16,290,0.73535918,2.27191088,21.00592342,0.36642055,0.0085873125
16,291,0.86482480,2.68766485,22.23494789,0.24597226,0.0049117433
16,292,0.78349128,2.41013788,22.49876291,0.14451806,0.0023507239
16,293,0.93081019,2.82761453,23.23281151,0.34693184,0.0045787856
16,294,0.82232834,2.72897068,22.76396012,0.34296459,0.0064257288
16,295,0.89192418,3.00781081,21.44278074,0.04732299,0.0022455786
16,296,0.78241367,2.30611916,22.44025777,0.00183746,0.0144729555
16,297,0.75159023,2.32569294,21.53923394,-0.24792212,0.0088660717
16,298,0.72769377,2.42592137,23.76068592,0.24703753,0.0031889318
16,299,0.94145943,2.35872367,21.61749930,0.02300164,0.0029921141
16,300,0.85535789,2.02780294,24.36646859,0.09990474,0.0043294658
16,301,0.92551277,2.34034413,22.42598444,-0.02825238,0.0042202852
16,302,0.84021199,2.48703011,20.74198291,0.06071921,0.0053725106
16,303,0.66632582,2.61351764,22.11551835,0.11390154,0.0039424390
16,304,0.72974925,2.77649289,21.60994393,0.14455979,0.0042264997
16,305,0.84349840,2.79601496,23.16180723,-0.48924736,0.0028272637
16,306,0.85674350,2.79260583,22.20892422,0.37756348,0.0044802313
16,307,0.59388282,2.11308955,20.55866760,0.19509228,0.0036844295
16,308,0.76282649,2.81066837,22.96628684,-0.01839286,0.0065450715
16,309,0.89614796,2.33558946,21.61324053,0.22232404,0.0062432462
16,310,0.64850679,2.82647660,22.24707302,0.26685214,0.0040343510
16,311,0.84705793,2.81153813,20.11556769,0.26960794,0.0020742448
16,312,0.79574357,2.36874702,24.42799085,0.33285387,0.0026777846
16,313,0.88545456,2.45119859,22.38972322,0.15884904,0.0031139473
16,314,0.91647278,3.45202264,21.36800755,0.03131467,0.0048167488
16,315,0.81937459,2.69983998,22.97871518,0.09612413,0.0085935979
16,316,0.89586583,3.73793511,20.61421408,0.20112127,0.0106106399
16,317,0.60291638,3.02234176,22.28295229,-0.17373191,0.0031948760
16,318,0.79461296,2.22407205,23.72240903,-0.23025120,0.0018190796
16,319,0.81734052,2.89351395,20.89489506,0.45490753,0.0102775331
16,320,0.90065310,2.38764784,22.14907731,0.21890628,0.0086731185
16,321,0.50680039,2.21045212,20.75445576,0.38952154,0.0035123251
16,322,0.74689005,2.47925026,22.11259790,-0.15963024,0.0032933930
16,323,0.62097766,3.11236947,21.13839144,-0.11903114,0.0076826052
16,324,0.87171664,2.10775624,21.88370521,-0.02584198,0.0034771389
16,325,0.73353891,3.29252473,23.05235705,-0.14955228,0.0036457562
16,326,0.68070160,2.30200954,21.41037972,0.34872591,0.0074887936
16,327,0.88981797,2.35140537,20.65554909,-0.05725550,0.0038481328
16,328,0.73559360,2.63776320,21.81488848,0.14605489,0.0072817136
16,329,0.68424769,2.68518461,22.47964976,0.37085426,0.0077921889
16,330,0.85642352,2.60298849,22.08599036,0.07133207,0.0019662963
16,331,0.87115667,2.39194308,23.01290459,0.33634313,0.0103011997
16,332,0.93941520,2.92345992,21.68568829,-0.03631843,0.0071057161
16,333,0.94846050,2.11862040,18.97761408,0.43837667,0.0051710338
16,334,0.93054107,2.51043475,22.20945859,0.24950360,0.0036514128
16,335,0.73911274,2.29134099,20.98898343,0.10045641,0.0110847518
16,336,0.77866426,2.97165821,22.38399250,0.26786789,0.0020446463
16,337,0.91673027,2.64920047,21.20310465,0.46424439,0.0018937638
16,338,0.91398215,2.18824176,20.97315535,0.28025488,0.0014256155
16,339,0.72185430,2.62827938,22.61341206,0.35344121,0.0078439676
16,340,0.85500218,2.86126839,20.98704720,0.36757019,0.0073904383
16,341,0.94089901,2.60036814,21.71825738,-0.14962496,0.0062851504
16,342,0.83346107,2.36613254,20.64730220,0.22910087,0.0052020191
16,343,0.82093419,2.22619469,21.57940557,0.19569708,0.0082264872
16,344,0.53885897,2.77999772,20.54768510,0.34245953,0.0065529772
16,345,0.92502939,2.61410229,20.66471452,0.24538629,0.0087901981
16,346,0.76532761,2.49635486,19.34784699,0.36937689,0.0038905364
16,347,0.79186059,2.87384689,21.85592822,0.37403855,0.0056984264
16,348,0.69200671,2.60030113,22.06232005,-0.32425945,0.0062583906
16,349,0.74432800,2.46527540,21.17851892,0.19217538,0.0049550891
16,350,0.92063028,2.74871374,21.73057348,0.06764031,0.0026744922
16,351,0.64448926,2.83715252,21.70590574,0.12746382,0.0059547645
16,352,0.84937858,3.01394324,22.96776826,0.13445192,0.0032719192
16,353,0.98533277,2.43768108,21.50078599,0.26967658,0.0120001535
16,354,0.79995133,2.47361463,22.31258198,-0.01439925,0.0037443654
16,355,0.61738624,2.14233605,22.88667480,0.44652965,0.0015607512
16,356,0.63157701,2.91100235,24.40481200,0.13303437,0.0112351410
16,357,0.69973566,2.83526983,22.20423693,0.04325671,0.0217169327
16,358,0.89793937,2.97539416,20.38313616,0.21902349,0.0018930651
16,359,0.95390771,3.88504673,21.13431741,-0.25530889,0.0043986011
16,360,0.87061979,2.65796698,22.89491726,0.05960416,0.0015502645
16,361,0.67198459,2.39183066,20.87344774,0.12724701,0.0079290650
16,362,0.94617887,2.56122701,21.77436263,0.42490745,0.0044950656
16,363,0.76596767,2.46726238,23.95419367,0.17139278,0.0041098000
16,364,0.81850566,2.46946419,23.27641215,0.19146436,0.0063829176
16,365,0.93785454,2.52555646,21.92830251,0.00719242,0.0027143322
16,366,0.93513443,2.81218720,22.95389406,0.18217372,0.0024072852
16,367,0.91712373,3.10468709,22.66765858,-0.06316533,0.0029160304
16,368,0.68816088,3.13789438,21.98372509,0.06993612,0.0021319667
16,369,0.71532049,3.25598604,22.26910603,0.16245038,0.0013722759
16,370,0.87206041,2.71898129,20.64220387,0.25823386,0.0013321990
16,371,0.63032532,3.40386745,22.89036474,0.03156950,0.0057200309
16,372,0.75727890,2.05733450,19.99083253,0.30163327,0.0070113202
16,373,0.82942465,2.47348890,19.45616542,0.10700631,0.0014551915
16,374,0.84542169,2.03485140,19.05381899,0.38187204,0.0068762578
16,375,0.90773754,2.45029067,21.75481602,0.21689701,0.0153416138
16,376,0.71854104,2.67714221,21.80681093,-0.14532806,0.0103497862
16,377,0.85827618,2.77784494,20.83867969,-0.05513028,0.0049460752
16,378,0.86852376,2.75875219,22.23640428,0.07701416,0.0172739604
16,379,0.82508365,3.00177362,22.46337444,0.03808822,0.0061690118
16,380,0.86929250,2.56484454,22.53329207,0.35242720,0.0035326331
16,381,0.72675921,3.08278007,20.99111639,-0.01761686,0.0014315709
16,382,0.71950256,2.38029378,23.57174588,0.04483175,0.0064114352
16,383,0.95179165,2.68022366,23.13610686,-0.09325873,0.0025452220
16,384,0.85234749,2.20360235,21.37357126,0.37426124,0.0024610817
16,385,0.78449140,2.87715086,21.92209392,-0.25408355,0.0054496897
16,386,0.81514072,2.59071655,22.64457463,0.25478759,0.0046472083
16,387,0.87938399,2.64648306,21.82203657,-0.26812645,0.0041011966
16,388,0.81789042,2.46434892,22.45552231,0.15326279,0.0023916752
16,389,0.81245134,2.36367064,23.49622429,0.37779808,0.0036800495
16,390,0.63422899,2.15387774,23.27518554,0.37178516,0.0015141286
16,391,0.76110630,2.44068272,21.32086649,0.05235715,0.0053722866
16,392,0.85292238,2.65910942,20.05221297,0.25959208,0.0068314835
16,393,0.74626056,2.70294420,22.05347968,0.38445221,0.0049092726
16,394,0.97424165,2.28024122,23.56896368,0.43725832,0.0056583490
