train_n,time,generated,reconstructed
32,0.20472441,-0.75608985,-0.72365244
32,0.21259843,-0.65444667,-0.71565360
32,0.22047244,-0.64610852,-0.69236801
32,0.22834646,-0.54059879,-0.65510461
32,0.23622047,-0.42926976,-0.60555580
32,0.24409449,-0.52212800,-0.54573020
32,0.25196850,-0.41480403,-0.47787822
32,0.25984252,-0.33518674,-0.40441295
32,0.26771654,-0.28222418,-0.32782905
32,0.27559055,-0.21816498,-0.25062224
32,0.28346457,-0.10630822,-0.17521181
32,0.29133858,0.00923106,-0.10386849
32,0.29921260,0.08717185,-0.03864972
32,0.30708661,0.18913118,0.01865602
32,0.31496063,0.18028731,0.06657439
32,0.32283465,0.11599774,0.10397883
32,0.33070866,0.08600981,0.13011223
32,0.33858268,0.02828573,0.14459621
32,0.34645669,-0.03422642,0.14742834
32,0.35433071,-0.00795510,0.13896778
32,0.36220472,-0.06913503,0.11991029
32,0.37007874,-0.01439990,0.09125369
32,0.37795276,-0.04676459,0.05425536
32,0.38582677,-0.15041823,0.01038322
32,0.39370079,-0.12285445,-0.03873782
32,0.40157480,-0.14320700,-0.09138240
32,0.40944882,-0.13901817,-0.14578199
32,0.41732283,-0.09755338,-0.20018147
32,0.42519685,-0.21611392,-0.25289308
32,0.43307087,-0.28032936,-0.30234615
32,0.44094488,-0.34686826,-0.34713140
32,0.44881890,-0.31646431,-0.38603841
32,0.45669291,-0.31032517,-0.41808560
32,0.46456693,-0.33448934,-0.44254187
32,0.47244094,-0.20298791,-0.45893968
32,0.48031496,-0.22494282,-0.46707945
32,0.48818898,-0.24900030,-0.46702547
32,0.49606299,-0.31027899,-0.45909377
32,0.50393701,-0.40881208,-0.44383267
32,0.51181102,-0.31971295,-0.42199686
32,0.51968504,-0.47370900,-0.39451606
32,0.52755906,-0.46072614,-0.36245945
32,0.53543307,-0.45534275,-0.32699716
32,0.54330709,-0.38998586,-0.28936010
32,0.55118110,-0.41136852,-0.25079941
32,0.55905512,-0.27177456,-0.21254691
32,0.56692913,-0.25257147,-0.17577757
32,0.57480315,-0.19158469,-0.14157529
32,0.58267717,-0.24883203,-0.11090272
32,0.59055118,-0.15180858,-0.08457608
32,0.59842520,-0.14763439,-0.06324544
32,0.60629921,-0.15918109,-0.04738091
32,0.61417323,-0.08923274,-0.03726499
32,0.62204724,-0.07173159,-0.03299097
32,0.62992126,-0.02043983,-0.03446734
32,0.63779528,0.04961592,-0.04142767
32,0.64566929,0.01384093,-0.05344561
32,0.65354331,0.09040932,-0.06995426
32,0.66141732,0.13996960,-0.09026913
32,0.66929134,0.13729276,-0.11361391
32,0.67716535,0.08341083,-0.13914808
32,0.68503937,-0.05228287,-0.16599542
32,0.69291339,-0.13989979,-0.19327258
32,0.70078740,-0.20625290,-0.22011680
32,0.70866142,-0.24400645,-0.24571183
32,0.71653543,-0.35856633,-0.26931147
32,0.72440945,-0.30993298,-0.29026011
32,0.73228346,-0.25126220,-0.30800950
32,0.74015748,-0.37610018,-0.32213170
32,0.74803150,-0.37905764,-0.33232771
32,0.75590551,-0.40735498,-0.33843184
32,0.76377953,-0.42294655,-0.34041169
32,0.77165354,-0.46261564,-0.33836406
32,0.77952756,-0.51883097,-0.33250701
32,0.78740157,-0.48076402,-0.32316840
32,0.79527559,-0.44154788,-0.31077154
32,0.80314961,-0.43294467,-0.29581839
32,0.81102362,-0.30933441,-0.27887095
32,0.81889764,-0.24617684,-0.26053154
32,0.82677165,-0.17516315,-0.24142255
32,0.83464567,-0.11574638,-0.22216639
32,0.84251969,-0.04493874,-0.20336613
32,0.85039370,-0.01322473,-0.18558757
32,0.85826772,-0.05086888,-0.16934310
32,0.86614173,-0.07299672,-0.15507786
32,0.87401575,-0.06071248,-0.14315851
32,0.88188976,-0.06751788,-0.13386484
32,0.88976378,-0.08490034,-0.12738447
32,0.89763780,-0.03228162,-0.12381050
32,0.90551181,-0.07162688,-0.12314233
32,0.91338583,-0.01824086,-0.12528920
32,0.92125984,-0.07168761,-0.13007650
32,0.92913386,-0.09814386,-0.13725439
32,0.93700787,-0.19854723,-0.14650846
32,0.94488189,-0.29091418,-0.15747194
32,0.95275591,-0.37034682,-0.16973911
32,0.96062992,-0.36644158,-0.18287934
32,0.96850394,-0.40473035,-0.19645145
32,0.97637795,-0.43849889,-0.21001780
32,0.98425197,-0.35993060,-0.22315770
32,0.99212598,-0.29576839,-0.23547983
32,1.00000000,-0.24471631,-0.24663328
64,0.00000000,0.19113953,0.09672363
64,0.00787402,0.31708918,0.22035633
64,0.01574803,0.47277578,0.33628889
64,0.02362205,0.57353136,0.44218925
64,0.03149606,0.65590878,0.53604571
64,0.03937008,0.67963774,0.61620000
64,0.04724409,0.71868296,0.68137107
64,0.05511811,0.71403808,0.73066924
64,0.06299213,0.69553316,0.76360099
64,0.07086614,0.65433249,0.78006453
64,0.07874016,0.68298457,0.78033661
64,0.08661417,0.67915900,0.76505126
64,0.09448819,0.62684369,0.73517125
64,0.10236220,0.58921829,0.69195318
64,0.11023622,0.62678954,0.63690732
64,0.11811024,0.54864832,0.57175318
64,0.12598425,0.46359136,0.49837218
64,0.13385827,0.36511921,0.41875844
64,0.14173228,0.26671930,0.33496898
64,0.14960630,0.18963184,0.24907444
64,0.15748031,0.12951069,0.16311146
64,0.16535433,0.06426295,0.07903772
64,0.17322835,0.03917857,-0.00130950
64,0.18110236,0.01122364,-0.07625029
64,0.18897638,-0.00747641,-0.14429412
64,0.19685039,-0.06649894,-0.20416627
64,0.20472441,-0.12214831,-0.25482822
64,0.21259843,-0.11700213,-0.29549201
64,0.22047244,-0.15940895,-0.32562820
64,0.22834646,-0.30081623,-0.34496770
64,0.23622047,-0.35219181,-0.35349759
64,0.24409449,-0.40052634,-0.35145132
64,0.25196850,-0.36050918,-0.33929359
64,0.25984252,-0.37630259,-0.31770072
64,0.26771654,-0.35627357,-0.28753684
64,0.27559055,-0.27447704,-0.24982683
64,0.28346457,-0.26232883,-0.20572667
64,0.29133858,-0.21422582,-0.15649195
64,0.29921260,-0.14245320,-0.10344539
64,0.30708661,-0.13645167,-0.04794409
64,0.31496063,-0.09382324,0.00865269
64,0.32283465,-0.05347756,0.06501450
64,0.33070866,0.03702829,0.11986887
64,0.33858268,0.09075907,0.17202790
64,0.34645669,0.17603895,0.22041197
64,0.35433071,0.23932970,0.26407000
64,0.36220472,0.34991967,0.30219600
64,0.37007874,0.40924544,0.33414163
64,0.37795276,0.46417882,0.35942479
64,0.38582677,0.53333138,0.37773390
64,0.39370079,0.52730367,0.38892835
64,0.40157480,0.46131483,0.39303487
64,0.40944882,0.44886580,0.39024033
64,0.41732283,0.41870446,0.38088115
64,0.42519685,0.32236385,0.36542975
64,0.43307087,0.35683728,0.34447841
64,0.44094488,0.34198133,0.31872109
64,0.44881890,0.32944171,0.28893356
64,0.45669291,0.31654188,0.25595263
64,0.46456693,0.24463743,0.22065461
64,0.47244094,0.16763854,0.18393386
64,0.48031496,0.14603809,0.14668174
64,0.48818898,0.03022902,0.10976645
64,0.49606299,-0.08071945,0.07401418
64,0.50393701,-0.09317949,0.04019203
64,0.51181102,-0.15120598,0.00899286
64,0.51968504,-0.11549469,-0.01897751
64,0.52755906,-0.13304416,-0.04321065
64,0.53543307,-0.09771141,-0.06330323
64,0.54330709,-0.09190205,-0.07896202
64,0.55118110,-0.03736290,-0.09000622
64,0.55905512,-0.06150799,-0.09636714
64,0.56692913,-0.04915556,-0.09808529
64,0.57480315,-0.01876772,-0.09530517
64,0.58267717,-0.03021229,-0.08826788
64,0.59055118,-0.04409687,-0.07730178
64,0.59842520,-0.01192817,-0.06281161
64,0.60629921,0.01081389,-0.04526626
64,0.61417323,0.05675962,-0.02518554
64,0.62204724,0.14288986,-0.00312636
64,0.62992126,0.11660922,0.02033136
64,0.63779528,0.13405471,0.04459886
64,0.64566929,0.09046805,0.06909222
64,0.65354331,0.10890079,0.09324550
64,0.66141732,0.08802854,0.11652285
64,0.66929134,0.07180888,0.13842952
64,0.67716535,0.01939763,0.15852153
64,0.68503937,0.07439229,0.17641368
64,0.69291339,0.09553208,0.19178606
64,0.70078740,0.07630799,0.20438871
64,0.70866142,0.09863576,0.21404453
64,0.71653543,0.18447003,0.22065046
64,0.72440945,0.21339794,0.22417685
64,0.73228346,0.19578035,0.22466527
64,0.74015748,0.21619711,0.22222474
64,0.74803150,0.18739916,0.21702658
64,0.75590551,0.15900053,0.20929803
64,0.76377953,0.16365721,0.19931492
64,0.77165354,0.11188570,0.18739342
64,0.77952756,0.20856364,0.17388129
64,0.78740157,0.20929384,0.15914873
64,0.79527559,0.26962520,0.14357904
64,0.80314961,0.21355813,0.12755939
64,0.81102362,0.26066751,0.11147191
64,0.81889764,0.21628906,0.09568513
64,0.82677165,0.19258090,0.08054618
64,0.83464567,0.11470177,0.06637374
64,0.84251969,0.10034057,0.05345190
64,0.85039370,0.00989614,0.04202508
64,0.85826772,-0.04808979,0.03229403
64,0.86614173,-0.04592310,0.02441301
64,0.87401575,-0.03309702,0.01848808
64,0.88188976,-0.04404137,0.01457666
64,0.88976378,-0.07683448,0.01268808
64,0.89763780,-0.03884830,0.01278530
64,0.90551181,-0.04491435,0.01478759
64,0.91338583,-0.04544622,0.01857410
64,0.92125984,-0.00663294,0.02398816
64,0.92913386,-0.12176492,0.03084228
64,0.93700787,-0.07268381,0.03892366
64,0.94488189,-0.04008665,0.04799998
64,0.95275591,0.00797168,0.05782549
64,0.96062992,0.04784488,0.06814711
64,0.96850394,0.09571640,0.07871049
64,0.97637795,0.24360428,0.08926585
64,0.98425197,0.20379078,0.09957344
64,0.99212598,0.24749355,0.10940866
64,1.00000000,0.21950040,0.11856650
128,0.00000000,-0.34696484,-0.41604906
128,0.00787402,-0.18875962,-0.26061768
128,0.01574803,-0.00392780,-0.11823798
128,0.02362205,0.10553164,0.00665832
128,0.03149606,0.20032776,0.11047579
128,0.03937008,0.23473932,0.19054267
128,0.04724409,0.30033050,0.24516122
128,0.05511811,0.30502732,0.27362086
128,0.06299213,0.27198336,0.27617577
128,0.07086614,0.21162353,0.25398906
128,0.07874016,0.16263869,0.20904743
128,0.08661417,0.10780045,0.14405066
128,0.09448819,0.03333571,0.06228108
128,0.10236220,-0.07044712,-0.03254137
128,0.11023622,-0.17351180,-0.13641262
128,0.11811024,-0.27919029,-0.24520061
128,0.12598425,-0.37552021,-0.35479846
128,0.13385827,-0.52013193,-0.46126928
128,0.14173228,-0.61784838,-0.56097797
128,0.14960630,-0.70802504,-0.65070586
128,0.15748031,-0.77994671,-0.72774505
128,0.16535433,-0.84502068,-0.78997000
128,0.17322835,-0.87120631,-0.83588487
128,0.18110236,-0.86452693,-0.86464629
128,0.18897638,-0.82713260,-0.87606176
128,0.19685039,-0.81218180,-0.87056497
128,0.20472441,-0.75676998,-0.84917008
128,0.21259843,-0.71869128,-0.81340755
128,0.22047244,-0.70064234,-0.76524471
128,0.22834646,-0.65615946,-0.70699468
128,0.23622047,-0.60940581,-0.64121731
128,0.24409449,-0.57448184,-0.57061626
128,0.25196850,-0.48182564,-0.49793585
128,0.25984252,-0.42830542,-0.42586151
128,0.26771654,-0.34776284,-0.35692711
128,0.27559055,-0.29520609,-0.29343222
128,0.28346457,-0.25307479,-0.23737162
128,0.29133858,-0.21257444,-0.19037915
128,0.29921260,-0.21645217,-0.15368707
128,0.30708661,-0.19752709,-0.12810166
128,0.31496063,-0.16965123,-0.11399519
128,0.32283465,-0.20311954,-0.11131368
128,0.33070866,-0.22159048,-0.11959943
128,0.33858268,-0.22694401,-0.13802688
128,0.34645669,-0.20617596,-0.16544976
128,0.35433071,-0.20421277,-0.20045737
128,0.36220472,-0.26549955,-0.24143756
128,0.37007874,-0.26034755,-0.28664381
128,0.37795276,-0.30959060,-0.33426387
128,0.38582677,-0.32617145,-0.38248735
128,0.39370079,-0.36822338,-0.42957003
128,0.40157480,-0.44648389,-0.47389273
128,0.40944882,-0.49773385,-0.51401277
128,0.41732283,-0.53181257,-0.54870677
128,0.42519685,-0.52587758,-0.57700357
128,0.43307087,-0.55610971,-0.59820649
128,0.44094488,-0.56728283,-0.61190488
128,0.44881890,-0.58290831,-0.61797484
128,0.45669291,-0.52731109,-0.61656979
128,0.46456693,-0.57801943,-0.60810153
128,0.47244094,-0.54732456,-0.59321313
128,0.48031496,-0.57839449,-0.57274486
128,0.48818898,-0.57230768,-0.54769474
128,0.49606299,-0.60202577,-0.51917545
128,0.50393701,-0.55854648,-0.48836915
128,0.51181102,-0.53358484,-0.45648215
128,0.51968504,-0.52296431,-0.42470076
128,0.52755906,-0.47978457,-0.39415013
128,0.53543307,-0.40097561,-0.36585717
128,0.54330709,-0.34113250,-0.34071879
128,0.55118110,-0.29401895,-0.31947630
128,0.55905512,-0.28753810,-0.30269657
128,0.56692913,-0.28336119,-0.29076031
128,0.57480315,-0.31429489,-0.28385755
128,0.58267717,-0.25653745,-0.28199014
128,0.59055118,-0.26131899,-0.28498073
128,0.59842520,-0.29276634,-0.29248780
128,0.60629921,-0.26867590,-0.30402575
128,0.61417323,-0.24140641,-0.31898912
128,0.62204724,-0.26309453,-0.33667996
128,0.62992126,-0.25351624,-0.35633707
128,0.63779528,-0.26896244,-0.37716621
128,0.64566929,-0.36718326,-0.39836988
128,0.65354331,-0.37602531,-0.41917588
128,0.66141732,-0.42968543,-0.43886351
128,0.66929134,-0.48848035,-0.45678677
128,0.67716535,-0.52558666,-0.47239363
128,0.68503937,-0.53069515,-0.48524120
128,0.69291339,-0.53279414,-0.49500614
128,0.70078740,-0.54194868,-0.50149039
128,0.70866142,-0.57139345,-0.50462217
128,0.71653543,-0.51842660,-0.50445237
128,0.72440945,-0.50599386,-0.50114686
128,0.73228346,-0.53686496,-0.49497499
128,0.74015748,-0.50717410,-0.48629499
128,0.74803150,-0.52988521,-0.47553698
128,0.75590551,-0.53754413,-0.46318413
128,0.76377953,-0.50313575,-0.44975295
128,0.77165354,-0.48314209,-0.43577332
128,0.77952756,-0.44992393,-0.42176893
128,0.78740157,-0.39009473,-0.40823904
128,0.79527559,-0.32616723,-0.39564184
128,0.80314961,-0.26700296,-0.38438019
128,0.81102362,-0.29573728,-0.37478994
128,0.81889764,-0.24773276,-0.36713125
128,0.82677165,-0.28629621,-0.36158298
128,0.83464567,-0.33162420,-0.35824029
128,0.84251969,-0.33055789,-0.35711530
128,0.85039370,-0.35057160,-0.35814065
128,0.85826772,-0.37024140,-0.36117580
128,0.86614173,-0.37416070,-0.36601551
128,0.87401575,-0.38246482,-0.37240032
128,0.88188976,-0.40803115,-0.38002835
128,0.88976378,-0.37239207,-0.38856816
128,0.89763780,-0.40500440,-0.39767190
128,0.90551181,-0.42810209,-0.40698851
128,0.91338583,-0.47347838,-0.41617635
128,0.92125984,-0.51783136,-0.42491491
128,0.92913386,-0.55042060,-0.43291516
128,0.93700787,-0.52811362,-0.43992833
128,0.94488189,-0.54104777,-0.44575277
128,0.95275591,-0.51693896,-0.45023891
128,0.96062992,-0.47067241,-0.45329197
128,0.96850394,-0.45551655,-0.45487275
128,0.97637795,-0.43672350,-0.45499630
128,0.98425197,-0.41576826,-0.45372877
128,0.99212598,-0.36653125,-0.45118258
128,1.00000000,-0.39806579,-0.44751017
256,0.00000000,-0.01766547,0.08180083
256,0.00787402,0.12526098,0.19503204
256,0.01574803,0.22011997,0.29817146
256,0.02362205,0.35560210,0.38875713
256,0.03149606,0.47153716,0.46484606
256,0.03937008,0.53761424,0.52504113
256,0.04724409,0.61009793,0.56850009
256,0.05511811,0.62477283,0.59492759
256,0.06299213,0.66469857,0.60455142
256,0.07086614,0.61191077,0.59808469
256,0.07874016,0.60187530,0.57667578
256,0.08661417,0.56095051,0.54184839
256,0.09448819,0.53579891,0.49543399
256,0.10236220,0.47862693,0.43949919
256,0.11023622,0.42223492,0.37627037
256,0.11811024,0.35145834,0.30805810
256,0.12598425,0.29512854,0.23718356
256,0.13385827,0.19767658,0.16590902
256,0.14173228,0.10564605,0.09637410
256,0.14960630,0.03623940,0.03053966
256,0.15748031,-0.04825267,-0.02985988
256,0.16535433,-0.14490704,-0.08335453
256,0.17322835,-0.20656742,-0.12876666
256,0.18110236,-0.23092044,-0.16522855
256,0.18897638,-0.26378848,-0.19218980
256,0.19685039,-0.26484471,-0.20941472
256,0.20472441,-0.24108538,-0.21697069
256,0.21259843,-0.23475810,-0.21520812
256,0.22047244,-0.21479929,-0.20473322
256,0.22834646,-0.19497420,-0.18637481
256,0.23622047,-0.16917550,-0.16114645
256,0.24409449,-0.12511969,-0.13020545
256,0.25196850,-0.08204037,-0.09480987
256,0.25984252,-0.07693835,-0.05627525
256,0.26771654,0.00147069,-0.01593213
256,0.27559055,0.04454572,0.02491436
256,0.28346457,0.07831152,0.06502172
256,0.29133858,0.17957438,0.10324324
256,0.29921260,0.21355834,0.13855636
256,0.30708661,0.24546324,0.17008563
256,0.31496063,0.26566380,0.19711999
256,0.32283465,0.27068498,0.21912404
256,0.33070866,0.26397226,0.23574357
256,0.33858268,0.23910310,0.24680527
256,0.34645669,0.23756111,0.25231109
256,0.35433071,0.22336102,0.25242783
256,0.36220472,0.20374412,0.24747235
256,0.37007874,0.18888173,0.23789324
256,0.37795276,0.17073464,0.22424970
256,0.38582677,0.17605444,0.20718834
256,0.39370079,0.15618831,0.18741880
256,0.40157480,0.14837604,0.16568894
256,0.40944882,0.09535170,0.14276036
256,0.41732283,0.09865804,0.11938496
256,0.42519685,0.03639518,0.09628325
256,0.43307087,0.03271398,0.07412476
256,0.44094488,0.01295984,0.05351122
256,0.44881890,0.01958345,0.03496274
256,0.45669291,0.02197991,0.01890722
256,0.46456693,0.04564645,0.00567311
256,0.47244094,0.06575339,-0.00451443
256,0.48031496,0.05022851,-0.01153405
256,0.48818898,0.05449733,-0.01536566
256,0.49606299,0.06421977,-0.01608501
256,0.50393701,0.03073866,-0.01385574
256,0.51181102,0.04135005,-0.00891928
256,0.51968504,-0.00953646,-0.00158309
256,0.52755906,-0.01132114,0.00779239
256,0.53543307,0.00763279,0.01880765
256,0.54330709,0.00939886,0.03103820
256,0.55118110,0.04598704,0.04404873
256,0.55905512,0.06904161,0.05740665
256,0.56692913,0.07596007,0.07069476
256,0.57480315,0.09022240,0.08352273
256,0.58267717,0.05534292,0.09553710
256,0.59055118,0.05098902,0.10642957
256,0.59842520,0.06143552,0.11594346
256,0.60629921,0.02631220,0.12387829
256,0.61417323,0.07357787,0.13009235
256,0.62204724,0.10390881,0.13450346
256,0.62992126,0.10402581,0.13708783
256,0.63779528,0.13210870,0.13787731
256,0.64566929,0.14919370,0.13695517
256,0.65354331,0.15126531,0.13445052
256,0.66141732,0.17759761,0.13053176
256,0.66929134,0.16849070,0.12539929
256,0.67716535,0.18151735,0.11927761
256,0.68503937,0.16504132,0.11240725
256,0.69291339,0.12493235,0.10503667
256,0.70078740,0.13108667,0.09741440
256,0.70866142,0.10870635,0.08978169
256,0.71653543,0.12092339,0.08236573
256,0.72440945,0.10645812,0.07537380
256,0.73228346,0.11018103,0.06898827
256,0.74015748,0.08603772,0.06336264
256,0.74803150,0.08357344,0.05861875
256,0.75590551,0.07126503,0.05484503
256,0.76377953,0.03028721,0.05209583
256,0.77165354,0.00643582,0.05039187
256,0.77952756,0.00628228,0.04972162
256,0.78740157,-0.03007325,0.05004351
256,0.79527559,-0.03688134,0.05128903
256,0.80314961,0.01533827,0.05336629
256,0.81102362,0.00722482,0.05616421
256,0.81889764,0.03372410,0.05955687
256,0.82677165,0.06217128,0.06340822
256,0.83464567,0.06444842,0.06757665
256,0.84251969,0.07315591,0.07191958
256,0.85039370,0.07015828,0.07629771
256,0.85826772,0.11580811,0.08057898
256,0.86614173,0.10190453,0.08464204
256,0.87401575,0.10014621,0.08837925
256,0.88188976,0.11540422,0.09169903
256,0.88976378,0.14268242,0.09452765
256,0.89763780,0.15285886,0.09681032
256,0.90551181,0.17018686,0.09851174
256,0.91338583,0.16932718,0.09961595
256,0.92125984,0.15922711,0.10012565
256,0.92913386,0.16424256,0.10006106
256,0.93700787,0.13364817,0.09945823
256,0.94488189,0.09270826,0.09836706
256,0.95275591,0.07422755,0.09684894
256,0.96062992,0.04724954,0.09497435
256,0.96850394,0.02916542,0.09282010
256,0.97637795,0.04091042,0.09046678
256,0.98425197,0.03692507,0.08799607
256,0.99212598,0.06443496,0.08548832
256,1.00000000,0.05831741,0.08302015
